Тип	Адрес	Цена	Этаж	Площадь	Отделка	Дата
4-Дом ктдж	Спиридонова 34                Кочпон, Сыктывкар	18900000	2/К	162 / 100 / 40	отл/р	07.08
4-Дом обыч	Вилядь                 Парчег, Сыктывдинский район	1790000	2/Д	80	б/план	06.08
3-Дом обыч	Зеленец                 Зеленец, Сыктывдинский район	4490000	1/Д	60 / 20 / 30	отл/р	06.08
4-Дом ктдж	6-я линия 10                 Сосновая поляна, Сыктывкар	8500000	2/К	152 / 65 / 14	обыч/р	31.07
5-Дом ктдж	Центральная                 Лэзым, Сыктывдинский район	7000000	2/Д	160 / 105 / 21	хор/р	28.07
4-Дом обыч	Центральная                 Лэзым, Сыктывдинский район	1300000	2/Д	126 / 80 / 15	треб/р	28.07
1-Дом ветх	Габовцы 11                 Куратово, Сысольский район	100000	1/Д	45 / 30 / 8	б/отд	27.07
7-Дом таун	Кирпичная 21                Строитель, Сыктывкар	19900000	3/К	244 / 200 / 30	отл/р	24.07
4-Дом ктдж	Судоходная 30                 Заречье, Сыктывкар	3950000	2/Д	104 / 80 / 9	хор/р	23.07
5-Дом обыч	Береговая                 Малая Слуда, Сыктывдинский район	2100000	2/Д	125 / 70 / 10	треб/р	22.07
4-Дом таун	Тентюковская 511                Тентюково, Сыктывкар	13000000	2/К	148 / 90 / 20	б/отд	22.07
3-Дом обыч	Родниковая 4-й                 Выльгорт, Сыктывдинский район	3990000	1/Д	85 / 36 / 18	п/отд	22.07
7-Дом ктдж	Строителей 48/1                 Прокопьевка, Сыктывдинский район	770000	2/К	510	б/отд	21.07
4-Дом ктдж	Ручейная                 Пычим, Сыктывдинский район	2500000	2/К	86 / 45 / 12	п/отд	18.07
3-Дом обыч	Полевая                 Чукачой, Сыктывдинский район	4500000	2/Д	104	отл/р	16.07
3-Дом обыч	Нагорная                Тентюково, Сыктывкар	5050000	2/Д	72 / 40 / 9	обыч/р	15.07
4-Дом обыч	Эжвинская                 Чукачой, Сыктывдинский район	1600000	2/Д	78	треб/р	15.07
2-Дом обыч	Складская 40                Мясокомбинат, Сыктывкар	3300000	1/Д	70 / 35 / 12	обыч/р	15.07
2-Дом обыч	Серова 1-й 17                Лесозавод, Сыктывкар	3700000	2/Д	31 / 19 / 8	хор/р	15.07
7-Дом обыч	1-я линия 7                 Яг-кар, Сыктывкар	7190000	3/К	330 / 216 / 25	треб/р	13.07
3-Дом обыч	Зеленец                 Зеленец, Сыктывдинский район	1750000	2/Д	72 / 62 / 10	п/отд	13.07
5-Дом обыч	Набережная                 Визябож, Корткеросский район	6060000	2/Д	100 / 70 / 20	отл/р	12.07
5-Дом ктдж	Горизонт                 Максаковские дачи, Сыктывкар	3850000	2/Д	190 / 90 / 25	отл/р	12.07
2-Дом обыч	Мичурина                 Нювчим, Сыктывдинский район	1300000	1/Д	36 / 20 / 16	обыч/р	10.07
1-Дом обыч	Чулиб                 Ыб, Сыктывдинский район	1600000	1/Д	36 / 36	обыч/р	09.07
3-Дом обыч	Сельская 16                 Нижний Чов, Сыктывкар	1800000	1/Д	67	треб/р	09.07
2-Дом таун	Савина 56А                Кируль, Сыктывкар	6100000	1/К	50 / 24 / 17	треб/р	09.07
2-Дом обыч	Береговая                 Сотчемвыв, Сыктывдинский район	1050000	1/Д	40 / 30	обыч/р	09.07
5-Дом ктдж	Кочпонская 12/2                Кочпон, Сыктывкар	15000000	3/Д	220 / 180 / 20	отл/р	09.07
4-Дом обыч	Придорожная 2                 Тупицыно, Сыктывдинский район	750000	2/Д	53 / 45 / 13	обыч/р	08.07
3-Дом обыч	Центральная 59                 Лэзым, Сыктывдинский район	600000	1/Д	60	обыч/р	05.07
4-Дом обыч	Вомын                 Вомын, Корткеросский район	1350000	1/Д	171 / 80 / 20	обыч/р	29.06
4-Дом ктдж	Нагорная 80/2                Тентюково, Сыктывкар	15100000	2/Д	204 / 158 / 24	отл/р	29.06
3-Дом обыч	Ольги Мальцевой                 Выльгорт, Сыктывдинский район	4500000	1/Д	114 / 66 / 25	треб/р	28.06
4-Дом обыч	Центральная                 Яг, Усть-Вымский район	1790000	1/Д	123	обыч/р	28.06
3-Дом обыч	4-я линия 61                 Сосновая поляна, Сыктывкар	4500000	2/Д	50 / 30 / 15	хор/р	26.06
3-Дом обыч	Центральная                 Усть-Кулом, Усть-Куломский район	3550000	2/Д	72 / 40 / 10	хор/р	26.06
3-Дом ктдж	Громова 24                Октябрьский, Сыктывкар	19000000	2/К	164 / 72 / 28	отл/р	25.06
3-Дом обыч	Сосновая 7А                 Ёля-ты, Сыктывдинский район	8600000	2/Д	127 / 70 / 40	хор/р	19.06
