"Unnamed: 0","annotation_id","annotator","created_at","id","lead_time","metascore","platform","release_date","sentiment","sort_no","summary","title","updated_at","user_score"
4636,1,"1","2024-08-26T05:53:08.436984Z",535716,4.618,80,"PlayStation 4","May 21, 2019","neutral",4637,"As a Slayer, you are all that stands between your world and the Behemoths that seek to devour it. Take on boss-sized monsters, forge powerful weapons, and craft armour from the very creatures you slay — all in a massive, free-to-play online world.","Dauntless","2024-08-26T05:53:08.437011Z","3.8"
270,2,"1","2024-08-26T05:53:20.863340Z",162339,23.131999999999998,89,"GameCube","March 9, 2004","postitive",671,"Step up to the plate with MVP Baseball 2004.  The fundamentals of hitting, pitching, fielding, and base-running have been reproduced realistically to give you complete control over every aspect of the game.  From swinging for the fences or protecting the plate when you have a two-strike count, the all-new batting model provides unprecedented command of each type of swing in every situation.  With solid gameplay and many additional features such as Pitching Challenge and Dynasty Mode, MVP Baseball 2004 allows you to experience the game like never before.","MVP Baseball 2004","2024-08-26T05:53:20.863367Z","6.7"
8298,3,"1","2024-08-26T05:53:41.839982Z",571661,19.55,75,"Switch","November 26, 2020","neutral",8199,"Start a dimension-jumping adventure with Quby!

In a universe, dimensions are connected to each other.

In the center of the passages lies Dimensional Core, keeping the balance between dimensions.

 

This balance began to collapse when the Core stopped working.

Unless someone gives a helping hand, soon the universe will follow.

 

The Gate doesn't let anyone into the Dimensional Core.

But Quby, as the last descendant of Chosen Ones, can access the Gate.

 

To restore the balance between dimensions, Quby opens a portal to the Gate.

With Varon, the talking penguin, she must explore the long-forgotten ruins of her ancestors and find a way to reactivate the Core.

Let the journey begin!","QV","2024-08-26T05:53:41.840015Z","tbd"
3819,4,"1","2024-08-26T05:53:55.514042Z",480993,12.228,81,"PC","February 9, 2016","neutral",3820,"Yarny's mission is to mend broken bonds and the yarn represents the love and connection between people. The player will use Yarny's thread to do things such as swinging across gaps or rappelling down trees. Te game will also challenge gamers to use the thread in clever and creative ways. [Electronic Arts]","Unravel","2024-08-26T05:53:55.514069Z","7.6"
6163,5,"1","2024-08-26T05:54:04.423618Z",581258,7.589,78,"Switch","February 22, 2022","neutral",6164,"Sol Cresta is a sequel to 1980 arcade game Moon Cresta and its 1985 successor Terra Cresta.","Sol Cresta","2024-08-26T05:54:04.423651Z","7.4"
11116,6,"1","2024-08-26T05:54:17.916584Z",107806,12.05,71,"DS","May 5, 2006","neutral",11117,"When a housing development intrudes on their woodland habitat and an opossum is kidnapped by an evil exterminator, three wise-cracking rodents and one very neurotic reptile invade the 'burbs in a quest to rescue their friend. Battle the exterminator and his army of mind-controlled mammals, and save the forest (and your own hide) from the world’s peskiest critter-man. [Activision]","DreamWorks Over the Hedge","2024-08-26T05:54:17.916610Z","6.5"
15726,7,"1","2024-08-26T05:54:31.703761Z",538339,12.665,62,"PlayStation 4","February 13, 2019","negative",15727,"Intruders: Hide and Seek is a first-person stealth game, an intense thriller combining psychological terror with the point of view of a defenseless boy. Three dangerous intruders slip into the house, and your only option is… to hide.","Intruders: Hide and Seek","2024-08-26T05:54:31.703798Z","6.7"
3399,8,"1","2024-08-26T05:54:51.673674Z",510893,18.641,82,"PlayStation 4","September 15, 2017","negative",3400,"Take on the role of Billie Lurk (aka Megan Foster), once one of Dunwall's most notorious killers-for-hire. Reunited with your old mentor, the legendary assassin Daud, you undertake the greatest assassination ever conceived: killing the Outsider, a god-like figure whom Billie and Daud see as instrumental to some of the Empire's most dishonorable moments. As you venture deep into the grimiest corners of Karnaca to uncover the mystery of the Outsider and his origins, you will face deadly opposition, ancient powers, and difficult decisions that will forever change the world around you.","Dishonored: Death of the Outsider","2024-08-26T05:54:51.673701Z","8"
16832,9,"1","2024-08-26T05:55:01.489635Z",110390,8.564,59,"PlayStation 3","July 31, 2007","negative",16833,"[Dowloadable Game] Nucleus is a shooter that tasks the player with ridding a human body of a spreading virus.","Nucleus","2024-08-26T05:55:01.489665Z","8"
1547,10,"1","2024-08-26T05:55:13.068133Z",114369,10.361,86,"Xbox 360","May 15, 2012","negative",1548,"The tragedies that took Max Payne's loved ones years ago are wounds that won't heal. No longer a police, nearly washed up and addicted to pain killers, Max takes a job in São Paulo, Brazil, protecting the family of wealthy real estate mogul Rodrigo Branco to finally escape his troubled past. But as events spin out of his control, Max finds himself alone on the streets of an unfamiliar city, desperately searching for the truth and fighting for a way out.","Max Payne 3","2024-08-26T05:55:13.068208Z","7.9"
3922,11,"1","2024-08-26T05:55:28.601349Z",568695,14.27,81,"Switch","October 28, 2021","postitive",3923,"The Black Mantis clan has come to Okinawa...

Take on the role of the martial arts master Hiro, Meilin, or Shin as they face off in a desperate fight for their lives against the Black Mantis clan. 

DOUBLE THE MAYHEM: Bring a friend and battle against ninjas, demons, and more in the 2-player local co-op mode of this action-adventure platformer set in a mystical, fantasy version of Okinawa.

The fast, fluid combat system brings with it many moves, combos, juggles, and an intuitive parrying system.

Fight to gain the top spot on our online scoreboard!","Okinawa Rush","2024-08-26T05:55:28.601542Z","6.5"
3414,12,"1","2024-08-26T05:55:45.832504Z",114714,14.563,82,"PSP","November 24, 2009","postitive",3415,"Tekken 6 sees the return of many familiar faces as well as new characters to create the largest line-up the series has ever seen. With a growing roster of fighters, each equipped with their own deadly techniques, martial art moves, and attack combinations, Tekken 6 promises to be the best ""King of Iron Fist Tournament"" yet.  Adding to the already rich gaming experience, a deeper character customization feature will only enhance the incredible fighting intensity as players go mano-y-mano. Optimized for the PSP system, Tekken 6 not only contains all the explosive action of its home console brethren but also feature additional stages, content, items, and an ad-hoc multiplayer mode. Fighting amongst friends is encouraged as players can battle wirelessly against each other using original or fan favorite characters.  Rounding out its list of impressive features is the return of the Ghost Infrastructure mode, which allows players to upload their ""ghost"" character data and download others' from the Internet onto their PSP system. When players have reached the height of their Tekken fighting skills, they will be able to see how they stack up against others through the game’s network support. [Namco Bandai Games]","Tekken 6","2024-08-26T05:55:45.832532Z","8.2"
8556,13,"1","2024-08-26T05:55:59.005719Z",107051,11.72,75,"Xbox 360","November 16, 2005","neutral",8557,"Set in the untamed West of the late-1800s, GUN is a free-roaming action-adventure game that takes players to a world without laws where greed, lust and murder are rampant. As Colton White, a vengeful gunslinger, players must straddle the line between good and evil as they showdown against corrupt lawmen, a murderous preacher, renegade army psychopaths, merciless outlaws and unforgiving Native Americans, while waging war on horseback, collecting bounties, and commandeering trains. Players travel through an action-packed landscape of high mountain wilderness, deserts and bustling territorial towns in an epic story of betrayal, greed, and revenge. Multiple gameplay styles include: strategic gunplay and precision shooting, stealth tactics, and use of explosives. Embark on numerous side missions to master gun slinging and horse riding. Players can unlock secret weapons and upgrade skills and abilities to improve their weapon and equipment performance. [Activision]","Gun","2024-08-26T05:55:59.005748Z","7.6"
6396,14,"1","2024-08-26T05:56:12.971676Z",557723,12.313,78,"Switch","December 29, 2020","neutral",6397,"Relaxing Strategy Game About Birds for 1 to 5 players

The officially licensed digital adaptation of Wingspan, the winner of the prestigious 2019 Kennerspiel des Jahres board game award.

You are bird enthusiasts—researchers, bird watchers, ornithologists, and collectors—seeking to discover and attract the best birds to your network of wildlife preserves. Each bird extends a chain of powerful combinations in one of your habitats. Each habitat focuses on a key aspect of the growth of your preserves.

In Wingspan up to 5 players compete to build up their nature preserves in a limited number of turns. Each beautiful bird that you add to your preserve makes you better at laying eggs, drawing cards, or gathering food. Many of the 170 unique birds have powers that echo real life: your hawks will hunt, your pelicans will fish, and your geese will form a flock.

Features
* Relaxing strategy card game where your goal is to discover and attract the best birds.
* Single player and multiplayer modes for up to five players.
* Based on the award winning, competitive, medium-weight, card-driven, engine-building board game.
* Hundreds of unique, animated birds with their real life sound recordings.
* Multiple ways to accumulate points with birds, bonus cards and end-of-round goals.","Wingspan","2024-08-26T05:56:12.971704Z","7.3"
16448,15,"1","2024-08-26T05:56:26.092053Z",509030,11.835,60,"Switch","February 27, 2018","neutral",16449,"Payday 2 is an action-packed, four-player co-op heist shooter that once again lets gamers don the masks of the original Payday crew - Dallas, Hoxton, Wolf and Chains. The new CrimeNet network offers a huge range of dynamic contracts and players are free to choose anything from small-time convenience store hits or kidnappings, to cyber-crime or emptying out bank vaults. As the crew progresses the jobs become bigger, better and more rewarding. Along with earning more money and becoming a legendary criminal comes a new character customization and crafting system that lets crews build and customize their own guns and gear.","Payday 2","2024-08-26T05:56:26.092078Z","5"
14682,16,"1","2024-08-26T05:56:35.342890Z",182270,7.967,65,"PlayStation 3","November 15, 2011","neutral",14683,"EyePet & Friends is a continuation of the EyePet franchise which enables kids and their family to experience a virtual Pet in the real world.","EyePet & Friends","2024-08-26T05:56:35.342921Z","4.7"
14357,17,"1","2024-08-26T05:56:47.394560Z",113307,10.681,65,"DS","September 1, 2009","postitive",14358,"Ride the Rails to Royalty and Treasure in Russia. You, as the Hardy Boys, are invited onboard the Royal Express traveling from Paris to St Petersburg to follow the mysterious trail of the Romanov Family treasure. Take a ride on the Royal Express to track down the lost clues of the Royal family in the great cities of Europe. Play as both the Hardy Boys and a mysterious female spy. Track down clues hidden in paintings. Explore Paris, St. Petersburg, Warsaw, Vienna, and Prague. Solve puzzles and play fun mini-games. [Sega]","The Hardy Boys: Treasure on the Tracks","2024-08-26T05:56:47.394604Z","tbd"
10906,18,"1","2024-08-26T05:56:57.588610Z",101333,8.864,71,"PlayStation 2","September 26, 2001","neutral",10907,"Assume the role of historical Chinese general Liu Bei of the Shu kingdom whose ultimate goal is the destruction of the Cao Cao, the leader of the Wei kindgom in order to rescue his lost love and claim his opponenet's land.  New ""Agen Technology"" allows for 500 soldiers on-screen at a given time.","Kessen II","2024-08-26T05:56:57.588653Z","8.6"
7439,19,"1","2024-08-26T05:57:09.060030Z",560979,10.193,76,"PlayStation 4","September 25, 2020","negative",7440,"Part one of the Mafia crime saga - 1930s, Lost Heaven, IL Re-made from the ground up, rise through the ranks of the Mafia during the Prohibition era of organized crime. After a run-in with the mob, cab driver Tommy Angelo is thrust into a deadly underworld. Initially uneasy about falling in with the Salieri crime family, Tommy soon finds that the rewards are too big to ignore.  Play a Mob Movie:
Live the life of a Prohibition-era gangster and rise through the ranks of the Mafia.  
Lost Heaven, IL:
Recreated 1930's cityscape, filled with interwar architecture, cars and culture to see, hear and interact with. 
Re-Made Classic:
Faithfully recreated, with expanded story, gameplay and original score. This is the Mafia you remembered and much more.","Mafia: Definitive Edition","2024-08-26T05:57:09.060067Z","7"
